Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
?,?,eth1/51/6,47-53-59-60,,,,0,0
?,?,eth1/51/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/51/8,47-53-59-60,,,,0,0
?,?,eth1/52/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/52/2,47-53-59-60,,,,0,0
?,?,eth1/52/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/52/4,47-53-59-60,,,,0,0
?,?,eth1/52/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/52/6,47-53-59-60,,,,0,0
?,?,eth1/52/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/52/8,47-53-59-60,,,,0,0
?,?,eth1/53/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/53/2,47-53-59-60,,,,0,0
?,?,eth1/53/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/53/4,47-53-59-60,,,,0,0
?,?,eth1/53/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/53/6,47-53-59-60,,,,0,0
?,?,eth1/53/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/53/8,47-53-59-60,,,,0,0
?,?,eth1/54/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/54/2,47-53-59-60,,,,0,0
?,?,eth1/54/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/54/4,47-53-59-60,,,,0,0
?,?,eth1/54/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/54/6,47-53-59-60,,,,0,0
?,?,eth1/54/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/54/8,47-53-59-60,,,,0,0
?,?,eth1/55/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/55/2,47-53-59-60,,,,0,0
?,?,eth1/55/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/55/4,47-53-59-60,,,,0,0
?,?,eth1/55/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
